,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
0,nba.p.4390,Russell,Westbrook,PG,DEN,BKN,DEN@BKN,7:30PM EDT,18,20.3, , ,10/29/2024,4390,0,17,17,7,7,27,19,19,15,23,15,4,26,11,26,29,16,10,15,25,13,24,21,29,7,8,27,22,9,9,20,2,30,22,2,,,7,28,104.28,110.43,110.82,112.76,4390,P,5.7,3.3,3.3,1.3,1,1.3,20.21,26.5,15.2,19.3,21.04,0.95,1,1.0428,0.19,1.49,2.707,0.6711409395973155,0.3694126339120798,1,0.5504248245289989,0.12110148585642161
2,nba.p.5295,Aaron,Gordon,PF,DEN,BKN,DEN@BKN,7:30PM EDT,27,31.3, , ,10/29/2024,5295,0,17,17,7,7,27,19,19,15,23,15,4,26,11,26,29,16,10,15,25,13,24,21,29,7,8,27,22,9,9,20,2,30,22,2,,,7,28,104.28,110.43,110.82,112.76,5295,P,12.7,8.3,4,1.3,0.3,2.3,31.16,26.799999999999997,22,45.2,29.48,0.95,1,1.0428,0.19,1.49,2.707,0.6711409395973155,0.3694126339120798,1,0.5504248245289989,0.11312014585067519
3,nba.p.5323,Dario,Saric,C,DEN,BKN,DEN@BKN,7:30PM EDT,15,3.1, , ,10/29/2024,5323,0,17,17,7,7,27,19,19,15,23,15,4,26,11,26,29,16,10,15,25,13,24,21,29,7,8,27,22,9,9,20,2,30,22,2,,,7,28,104.28,110.43,110.82,112.76,5323,P,0.7,1.3,0.3,0.3,0,0.7,2.91,6.2,2.4,0.7000000000000002,3.65,0.95,1,1.0428,0.19,1.49,2.707,0.6711409395973155,0.3694126339120798,1,0.5504248245289989,0.02521029
4,nba.p.5352,Nikola,Jokic,C,DEN,BKN,DEN@BKN,7:30PM EDT,60,60.6, , ,10/29/2024,5352,0,17,17,7,7,27,19,19,15,23,15,4,26,11,26,29,16,10,15,25,13,24,21,29,7,8,27,22,9,9,20,2,30,22,2,,,7,28,104.28,110.43,110.82,112.76,5352,P,32.3,10.3,7,1.7,1.3,3.7,60.46,55.9,61.8,64,59.77,0.95,1,1.0428,0.19,1.49,2.707,0.6711409395973155,0.3694126339120798,1,0.5504248245289989,0.10320678435796084
5,nba.p.5638,Jamal,Murray,PG,DEN,BKN,DEN@BKN,7:30PM EDT,37,35.1, , ,10/29/2024,5638,0,17,17,7,7,27,19,19,15,23,15,4,26,11,26,29,16,10,15,25,13,24,21,29,7,8,27,22,9,9,20,2,30,22,2,,,7,28,104.28,110.43,110.82,112.76,5638,P,17,5.7,5.3,1.7,0,1.7,35.19,28.2,35.9,41.3,33.81,0.95,1,1.0428,0.19,1.49,2.707,0.6711409395973155,0.3694126339120798,1,0.5504248245289989,0.094671594
7,nba.p.6025,Michael,Porter Jr.,SF,DEN,BKN,DEN@BKN,7:30PM EDT,26,29.2, , ,10/29/2024,6025,0,17,17,7,7,27,19,19,15,23,15,4,26,11,26,29,16,10,15,25,13,24,21,29,7,8,27,22,9,9,20,2,30,22,2,,,7,28,104.28,110.43,110.82,112.76,6025,P,12.3,8.7,2.3,1,0.3,1,29.09,29.6,29.299999999999997,28.799999999999997,29.3,0.95,1,1.0428,0.19,1.49,2.707,0.6711409395973155,0.3694126339120798,1,0.5504248245289989,0.11675366269500723
36,nba.p.4840,Kyrie,Irving,SG,DAL,MIN,DAL@MIN,7:30PM EDT,44,38.7, , ,10/29/2024,4840,0,7,7,19,19,11,13,7,9,10,12,13,7,10,8,15,13,6,9,15,20,30,19,14,2,3,7,17,25,12,25,26,12,14,10,,,5,23,110.98,108.86,112.06,110.12,4840,P,20,3.7,5.3,2,0.7,1.7,38.79,30.6,39.9,45.7,37.21,0.95,1,1.1098000000000001,0.175,2.66,1.509,0.37593984962406013,0.6626905235255136,0.5601503759398496,0.9874088800530152,0.086300841
37,nba.p.4892,Klay,Thompson,SG,DAL,MIN,DAL@MIN,7:30PM EDT,23,30.6, , ,10/29/2024,4892,0,7,7,19,19,11,13,7,9,10,12,13,7,10,8,15,13,6,9,15,20,30,19,14,2,3,7,17,25,12,25,26,12,14,10,,,5,23,110.98,108.86,112.06,110.12,4892,P,19.7,4.7,1.3,1.3,0,0.7,30.49,40.9,26.1,24.8,32.21000000000001,0.95,1,1.1098000000000001,0.175,2.66,1.509,0.37593984962406013,0.6626905235255136,0.5601503759398496,0.9874088800530152,0.1429127327084594
41,nba.p.5356,Dwight,Powell,C,DAL,MIN,DAL@MIN,7:30PM EDT,10,1.1, , ,10/29/2024,5356,0,7,7,19,19,11,13,7,9,10,12,13,7,10,8,15,13,6,9,15,20,30,19,14,2,3,7,17,25,12,25,26,12,14,10,,,5,23,110.98,108.86,112.06,110.12,5356,P,0.7,0.3,0,0,0,0,1.06,3.2,0,0,1.4,0.95,1,1.1098000000000001,0.175,2.66,1.509,0.37593984962406013,0.6626905235255136,0.5601503759398496,0.9874088800530152,0.014286836365142478
43,nba.p.6014,Luka,Doncic,PG,DAL,MIN,DAL@MIN,7:30PM EDT,58,52.6, , ,10/29/2024,6014,0,7,7,19,19,11,13,7,9,10,12,13,7,10,8,15,13,6,9,15,20,30,19,14,2,3,7,17,25,12,25,26,12,14,10,,,5,23,110.98,108.86,112.06,110.12,6014,P,27.7,9.7,6.7,1,1,2.7,52.69,54,59,44.8,53.52,0.95,1,1.1098000000000001,0.175,2.66,1.509,0.37593984962406013,0.6626905235255136,0.5601503759398496,0.9874088800530152,0.094166439
45,nba.p.6226,Daniel,Gafford,C,DAL,MIN,DAL@MIN,7:30PM EDT,24,24.1, , ,10/29/2024,6226,0,7,7,19,19,11,13,7,9,10,12,13,7,10,8,15,13,6,9,15,20,30,19,14,2,3,7,17,25,12,25,26,12,14,10,,,5,23,110.98,108.86,112.06,110.12,6226,P,8.3,7,2,0.3,1.3,0.7,23.8,24.2,21.6,26.4,23.86,0.95,1,1.1098000000000001,0.175,2.66,1.509,0.37593984962406013,0.6626905235255136,0.5601503759398496,0.9874088800530152,0.10145354633104152
46,nba.p.6499,Naji,Marshall,PF,DAL,MIN,DAL@MIN,7:30PM EDT,14,11.9, , ,10/29/2024,6499,0,7,7,19,19,11,13,7,9,10,12,13,7,10,8,15,13,6,9,15,20,30,19,14,2,3,7,17,25,12,25,26,12,14,10,,,5,23,110.98,108.86,112.06,110.12,6499,P,2.7,3,2.7,0.7,0,0.3,12.15,7.7,11.9,16.2,11.07,0.95,1,1.1098000000000001,0.175,2.66,1.509,0.37593984962406013,0.6626905235255136,0.5601503759398496,0.9874088800530152,0.080691469
54,nba.p.4246,Mike,Conley,PG,MIN,DAL,DAL@MIN,7:30PM EDT,25,22.3, , ,10/29/2024,4246,1,7,7,19,19,13,11,9,7,12,10,7,13,8,10,13,15,9,6,20,15,19,30,2,14,7,3,25,17,25,12,12,26,10,14,,,23,5,112.06,110.12,110.98,108.86,4246,P,7,3,4,1.7,0.7,1.3,22.5,12.8,17.4,36.6,19.9,0.95,1,1.1206,0.175,1.509,2.66,0.6626905235255136,0.37593984962406013,0.9874088800530152,0.5601503759398496,0.082021366
55,nba.p.5197,Rudy,Gobert,C,MIN,DAL,DAL@MIN,7:30PM EDT,36,33.5, , ,10/29/2024,5197,1,7,7,19,19,13,11,9,7,12,10,7,13,8,10,13,15,9,6,20,15,19,30,2,14,7,3,25,17,25,12,12,26,10,14,,,23,5,112.06,110.12,110.98,108.86,5197,P,10.3,12.3,1.3,1,1.7,1.7,33.41,34.8,20.7,44.9,32.47,0.95,1,1.1206,0.175,1.509,2.66,0.6626905235255136,0.37593984962406013,0.9874088800530152,0.5601503759398496,0.092938085
56,nba.p.5318,Julius,Randle,PF,MIN,DAL,DAL@MIN,7:30PM EDT,38,37, , ,10/29/2024,5318,1,7,7,19,19,13,11,9,7,12,10,7,13,8,10,13,15,9,6,20,15,19,30,2,14,7,3,25,17,25,12,12,26,10,14,,,23,5,112.06,110.12,110.98,108.86,5318,P,24.3,7.7,4.3,0,0,3,36.99,30.799999999999997,42,38.3,36.269999999999996,0.95,1,1.1206,0.175,1.509,2.66,0.6626905235255136,0.37593984962406013,0.9874088800530152,0.5601503759398496,0.098350799
57,nba.p.5393,Joe,Ingles,SF,MIN,DAL,DAL@MIN,7:30PM EDT,12,3.4, , ,10/29/2024,5393,1,7,7,19,19,13,11,9,7,12,10,7,13,8,10,13,15,9,6,20,15,19,30,2,14,7,3,25,17,25,12,12,26,10,14,,,23,5,112.06,110.12,110.98,108.86,5393,P,0,0.3,2,0,0,0,3.36,1.5,1.5,7.2,2.8300000000000005,0.95,1,1.1206,0.175,1.509,2.66,0.6626905235255136,0.37593984962406013,0.9874088800530152,0.5601503759398496,0.024300719
59,nba.p.6028,Donte,DiVincenzo,SG,MIN,DAL,DAL@MIN,7:30PM EDT,22,18.9, , ,10/29/2024,6028,1,7,7,19,19,13,11,9,7,12,10,7,13,8,10,13,15,9,6,20,15,19,30,2,14,7,3,25,17,25,12,12,26,10,14,,,23,5,112.06,110.12,110.98,108.86,6028,P,11.7,2,2.3,1,0,1.7,18.85,23.1,11.2,22.4,18.97,0.95,1,1.1206,0.175,1.509,2.66,0.6626905235255136,0.37593984962406013,0.9874088800530152,0.5601503759398496,0.088850235
60,nba.p.6205,Nickeil,Alexander-Walker,SG,MIN,DAL,DAL@MIN,7:30PM EDT,14,13.8, , ,10/29/2024,6205,1,7,7,19,19,13,11,9,7,12,10,7,13,8,10,13,15,9,6,20,15,19,30,2,14,7,3,25,17,25,12,12,26,10,14,,,23,5,112.06,110.12,110.98,108.86,6205,P,9,2.3,2,0,0,1,13.76,18,12.2,11.2,14.479999999999999,0.95,1,1.1206,0.175,1.509,2.66,0.6626905235255136,0.37593984962406013,0.9874088800530152,0.5601503759398496,0.10657478340906935
61,nba.p.6253,Naz,Reid,C,MIN,DAL,DAL@MIN,7:30PM EDT,27,24.6, , ,10/29/2024,6253,1,7,7,19,19,13,11,9,7,12,10,7,13,8,10,13,15,9,6,20,15,19,30,2,14,7,3,25,17,25,12,12,26,10,14,,,23,5,112.06,110.12,110.98,108.86,6253,P,13.7,7,1.7,0.3,0,1,24.55,17.3,37.1,19.3,24.380000000000003,0.95,1,1.1206,0.175,1.509,2.66,0.6626905235255136,0.37593984962406013,0.9874088800530152,0.5601503759398496,0.093043035
62,nba.p.6355,Anthony,Edwards,SG,MIN,DAL,DAL@MIN,7:30PM EDT,46,40.1, , ,10/29/2024,6355,1,7,7,19,19,13,11,9,7,12,10,7,13,8,10,13,15,9,6,20,15,19,30,2,14,7,3,25,17,25,12,12,26,10,14,,,23,5,112.06,110.12,110.98,108.86,6355,P,27.7,6.3,3.7,0.7,0.3,3.7,40.11,34.7,46.4,39.2,39.650000000000006,0.95,1,1.1206,0.175,1.509,2.66,0.6626905235255136,0.37593984962406013,0.9874088800530152,0.5601503759398496,0.088817653
63,nba.p.6420,Jaden,McDaniels,SF,MIN,DAL,DAL@MIN,7:30PM EDT,24,16.5, , ,10/29/2024,6420,1,7,7,19,19,13,11,9,7,12,10,7,13,8,10,13,15,9,6,20,15,19,30,2,14,7,3,25,17,25,12,12,26,10,14,,,23,5,112.06,110.12,110.98,108.86,6420,P,7,2.3,2,0.7,1,1.3,16.56,11.9,13.9,23.6,15.309999999999999,0.95,1,1.1206,0.175,1.509,2.66,0.6626905235255136,0.37593984962406013,0.9874088800530152,0.5601503759398496,0.065732157
